username = ferdi, password = ferdi (ADMIN)
username = salman, password = cz4r
username = fikrianwar, password = password123
username = andisetiawan, password = password123
username = budisuryadi, password = password123
username = citapermata, password = password123
username = dewianggraini, password = password123
username = ekoprasetyo, password = password123
username = fajarsantoso, password = password123
username = gitarahmawati, password = password123
username = harisusilo, password = password123
username = indahputri, password = password123
username = jokowibowo, password = password123
username = kurniasari, password = password123
username = lestaripuspita, password = password123
username = mayawulandari, password = password123
username = andisetiawan, password = password123
username = budisuryadi, password = password123
username = citapermata, password = password123
username = dewianggraini, password = password123
username = ekoprasetyo, password = password123
username = fajarsantoso, password = password123
username = gitarahmawati, password = password123
username = harisusilo, password = password123
username = indahputri, password = password123
username = jokowibowo, password = password123
username = kurniasari, password = password123
username = lestaripuspita, password = password123
username = mayawulandari, password = password123
username = rizkywicaksono, password = password123
